"White","YearsOnUnit"
0,1.76164383561644
0,0.676712328767123
0,0.178082191780822
1,4.29315068493151
0,7.97260273972603
0,2.21643835616438
0,3.23561643835616
1,11.6794520547945
0,4.97260273972603
0,1.06301369863014
1,9.56164383561644
0,1.25205479452055
1,0.501369863013699
1,0.676712328767123
1,3.10958904109589
1,3.52602739726027
1,0.786301369863014
1,13.4082191780822
1,14.4684931506849
1,2.28219178082192
0,0.454794520547945
1,0.783561643835616
1,7.07123287671233
0,7.36986301369863
1,0.49041095890411
0,1.86301369863014
1,0.178082191780822
1,0.986301369863014
1,1.48767123287671
1,0.501369863013699
0,11.2328767123288
1,1.33424657534247
0,1.45479452054795
1,9.74520547945206
1,0.178082191780822
1,0.657534246575342
1,0.824657534246575
0,0.93972602739726
0,1.95342465753425
1,1.1972602739726
0,1.07671232876712
1,7.78356164383562
1,1.74794520547945
0,0.0821917808219178
0,1.01917808219178
1,8.18356164383562
1,1.13698630136986
1,4.33424657534247
0,14.8164383561644
1,1.13698630136986
0,12.2630136986301
0,0.238356164383562
1,0.136986301369863
1,5.0027397260274
0,5.35616438356164
0,5.53698630136986
0,11.3945205479452
1,13.0328767123288
0,12.6082191780822
1,7.8958904109589
1,3.11506849315069
1,5.04931506849315
1,1.36164383561644
1,0.610958904109589
0,1.03561643835616
1,1.08493150684932
0,12.241095890411
1,2.06301369863014
1,0.96986301369863
1,2.71506849315068
1,1.89315068493151
0,0.967123287671233
1,1.28219178082192
0,2.48493150684931
0,2.27123287671233
1,5.13150684931507
0,0.813698630136986
0,1.11780821917808
0,4.41095890410959
1,3.05479452054795
1,4.41369863013699
1,9.74520547945206
1,4.82739726027397
0,0.178082191780822
0,1.84383561643836
1,0.493150684931507
0,3.07123287671233
0,12.241095890411
1,0.624657534246575
1,1.33424657534247
1,1.00821917808219
0,0.0821917808219178
1,4.3041095890411
0,1.79178082191781
1,3.16712328767123
0,2.85205479452055
1,1.13698630136986
1,3
0,1.99178082191781
1,1.65479452054795
1,0.791780821917808
0,1.89041095890411
0,0.868493150684931
0,2.42739726027397
1,2.73150684931507
0,1.38904109589041
1,5.3041095890411
1,12.6054794520548
1,1.22739726027397
1,6.67123287671233
0,12.2301369863014
0,12.5561643835616
1,4.07123287671233
1,6.33150684931507
0,6.87945205479452
0,2.21369863013699
1,5.23287671232877
1,7.62191780821918
1,2.66027397260274
1,0.282191780821918
0,12.2547945205479
1,4.83835616438356
1,0.178082191780822
0,0.972602739726027
1,0.178082191780822
0,0.257534246575342
0,2.33150684931507
1,0.238356164383562
0,1.26027397260274
0,1.40821917808219
1,0.235616438356164
